intensidad_media,mediana,desviacion_std,varianza,asimetria,curtosis,p10,p90,rango,homogeneidad,energia,contraste,correlacion,entropia,lbp_entropia,lbp_energia,area,circularidad,compacidad,solidez,excentricidad,extension,Clase
0.2919317,0.2771084,0.08900927,0.00792265,2.412464,14.56948,0.2048193,0.3895582,0.1847389,0.9576552,0.3303596,0.2545462,0.9544209,6.165662,2.794901,0.1714137,7605,0.6668641,1.499556,0.933931,0.9112303,0.5571429,2
0.2930954,0.2892562,0.08757082,0.007668649,0.4177845,3.346168,0.1818182,0.4090909,0.2272727,0.9503711,0.313618,0.2449159,0.947812,6.403162,2.67989,0.1887027,14268,0.8969244,1.114921,0.9880202,0.8024207,0.7178868,1
0.2576396,0.2125984,0.1606934,0.02582237,1.18508,4.160766,0.09448819,0.476378,0.3818898,0.968179,0.2828806,0.1669002,0.9698399,7.039579,2.636969,0.1987518,12267,0.9452034,1.057973,0.9820671,0.6035109,0.7198943,2
0.1894664,0.1632653,0.1134072,0.01286119,4.776171,25.81989,0.1428571,0.2122449,0.06938776,0.9553922,0.5483434,0.536775,0.9012756,4.729057,2.915998,0.1487995,5741,0.9931071,1.006941,0.9865956,0.562839,0.7914254,1
0.3717648,0.3613445,0.1322463,0.01748907,1.233861,7.308332,0.2352941,0.5210084,0.2857143,0.943347,0.3360681,0.3036475,0.9237398,6.778641,2.777488,0.1803952,8058,0.820579,1.218652,0.9689755,0.8020529,0.7208803,1
0.08660913,0.03187251,0.1415756,0.02004365,2.991449,13.25768,0.003984064,0.2430279,0.2390438,0.9864265,0.5451167,0.06002076,0.9883851,5.392472,2.448627,0.2519965,156674,0.8156236,1.226056,0.951142,0.801284,0.7974449,2
0.1159464,0.1028807,0.06427974,0.004131885,4.965656,54.14291,0.0617284,0.1769547,0.1152263,0.9860647,0.5264098,0.2035639,0.9702376,5.37761,2.742528,0.1712099,21596,0.9368916,1.067359,0.9823508,0.4970775,0.6878583,2
0.07950731,0.04888889,0.1002005,0.01004014,4.09342,23.17554,0.02222222,0.1555556,0.1333333,0.9846796,0.5560109,0.1596623,0.9734772,5.107808,2.734344,0.1753138,35686,0.9259294,1.079996,0.985012,0.5855615,0.7477893,2
0.06281894,0.008403362,0.1136626,0.01291918,3.390956,18.10224,0.004201681,0.1932773,0.1890756,0.9885911,0.5110237,0.0694853,0.9894697,4.278287,2.276645,0.303326,103888,0.8587318,1.164508,0.9618191,0.6962884,0.7021262,2
0.3624667,0.368,0.1718765,0.02954154,0.1343191,2.292569,0.14,0.588,0.448,0.9476496,0.219745,0.3040344,0.933987,7.360031,2.676865,0.1931284,11844,0.8986794,1.112744,0.9730529,0.6815715,0.7128069,2
